state,action,reward
"open                      105067.1
high                      105068.6
low                       104914.0
close                     104973.2
volume                   24.328079
EMA50                104774.692547
EMA12                104852.232956
EMA26                104772.106622
MACD                     80.126334
MACD_signal              70.789766
RSI                      46.470735
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-26 06:00:00, dtype: object",HOLD,31635.39999999982
"open                      104971.7
high                      105125.5
low                       104500.0
close                     104588.0
volume                  123.730009
EMA50                104767.371271
EMA12                104811.581732
EMA26                104758.469094
MACD                     53.112638
MACD_signal               67.25434
RSI                      55.388343
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                  True
Name: 2025-01-26 08:00:00, dtype: object",SELL,31635.39999999982
"open                      104588.0
high                      104802.0
low                       104500.0
close                     104801.9
volume                   25.384263
EMA50                104768.725338
EMA12                104810.092235
EMA26                104761.686198
MACD                     48.406036
MACD_signal               63.48468
RSI                      58.647594
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-26 10:00:00, dtype: object",BUY,31635.39999999982
"open                      104801.9
high                      105000.0
low                       104704.9
close                     104943.0
volume                    21.30853
EMA50                104775.559639
EMA12                104830.539583
EMA26                 104775.11685
MACD                     55.422733
MACD_signal               61.87229
RSI                       61.16596
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                  True
evening_star                 False
Name: 2025-01-26 12:00:00, dtype: object",SELL,31635.39999999982
"open                      104943.0
high                      105000.0
low                       104809.0
close                     104994.3
volume                   52.720095
EMA50                104784.137692
EMA12                104855.733493
EMA26                104791.352639
MACD                     64.380854
MACD_signal              62.374003
RSI                      56.659265
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-26 14:00:00, dtype: object",BUY,8014.999999999942
"open                      104994.2
high                      105000.0
low                       104885.4
close                     104924.5
volume                   34.903818
EMA50                104789.642096
EMA12                104866.312956
EMA26                104801.215406
MACD                     65.097549
MACD_signal              62.918712
RSI                      55.045797
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-26 16:00:00, dtype: object",BUY,31635.39999999982
"open                      104924.6
high                      105150.0
low                       104886.1
close                     105050.1
volume                   51.526809
EMA50                104799.856132
EMA12                104894.587886
EMA26                104819.651302
MACD                     74.936583
MACD_signal              65.322287
RSI                      59.885724
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-26 18:00:00, dtype: object",BUY,31635.39999999982
"open                      105050.1
high                      105153.0
low                       104600.0
close                     104630.0
volume                  145.812337
EMA50                104793.195107
EMA12                104853.882057
EMA26                104805.603058
MACD                        48.279
MACD_signal              61.913629
RSI                      51.173904
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-26 20:00:00, dtype: object",BUY,31635.39999999982
"open                      104630.0
high                      104703.4
low                       102544.1
close                     102596.5
volume                  374.850399
EMA50                104707.050201
EMA12                 104506.59251
EMA26                104641.965794
MACD                   -135.373284
MACD_signal              22.456247
RSI                      23.399475
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                  True
Name: 2025-01-26 22:00:00, dtype: object",BUY,31635.39999999982
"open                      102596.5
high                      103200.0
low                       101184.5
close                     101300.0
volume                  424.823854
EMA50                104573.440389
EMA12                104013.270585
EMA26                104394.412772
MACD                   -381.142187
MACD_signal              -58.26344
RSI                      17.444615
doji                         False
hammer                       False
bullish_engulfing            False
bearish_engulfing            False
shooting_star                False
morning_star                 False
evening_star                 False
Name: 2025-01-27 00:00:00, dtype: object",SELL,31635.39999999982
